,State_Name,DFSI
Dadra & Nagar Haveli,DADRA & NAGAR HAVE,9.82021117
Puducherry,PUDUCHERRY,9.745259264
Dhamtari,CHHATTISGARH,9.737562775
Siddipet,TELANGANA,9.73699868
Siddharthnagar,UTTAR PRADESH,9.723990353
Serchhip,MIZORAM,9.723515037
Mancherial,TELANGANA,9.717544076
Jagitial,TELANGANA,9.679544394
East Jaintia Hills,MEGHALAYA,9.659986333
Niwari,MADHYA PRADESH,9.638222931
Charki Dadri,HARYANA,9.619373408
Lower Siang,ARUNACHAL PRADESH,9.609839788
Chittaurgarh,RAJASTHAN,9.59413596
Kohima,NAGALAND,9.592515435
Narayanpur,CHHATTISGARH,9.553762142
Ranga Reddy,TELANGANA,9.536145533
North East,DELHI,9.525736278
South West Khasi Hills,MEGHALAYA,9.505296324
Sangareddy,TELANGANA,9.492916178
South East,DELHI,9.482388752
Tirap,ARUNACHAL PRADESH,9.475632711
Korba,CHHATTISGARH,9.450878057
Phek,NAGALAND,9.433797711
Longding,ARUNACHAL PRADESH,9.380106399
Kamle,ARUNACHAL PRADESH,9.35748144
Zunheboto,NAGALAND,9.351020632
Pakke Kessang,ARUNACHAL PRADESH,9.274304467
East Nimar,MADHYA PRADESH,9.247723572
Baloda Bazar,CHHATTISGARH,9.197380869
Agar Malwa,MADHYA PRADESH,9.189893645
Jamtara,JHARKHAND,9.10884638
Shi Yomi,ARUNACHAL PRADESH,9.096398933
Jashpur,CHHATTISGARH,9.061379751
Kiphire,NAGALAND,9.050894491
North West,DELHI,8.981260027
Simdega,JHARKHAND,8.941168082
Dhanbad,JHARKHAND,8.927454084
Latehar,JHARKHAND,8.923637897
Dimapur,NAGALAND,8.881072109
Lepa Rada,ARUNACHAL PRADESH,8.713845098
Kumuram Bheem Asifabad,TELANGANA,8.660938497
Shahdol,MADHYA PRADESH,8.60611133
Koriya,CHHATTISGARH,8.592841992
Hazaribagh,JHARKHAND,8.551359146
Saraikela-kharsawan,JHARKHAND,8.535902649
Chandigarh,CHANDIGARH,8.44471967
Churachandpur,MANIPUR,8.41345168
Senapati,MANIPUR,8.399273632
Kabeerdham,CHHATTISGARH,8.386742164
Mon,NAGALAND,8.374345913
South Andaman,ANDAMAN & NICOBAR,8.360463034
Jangoan,TELANGANA,8.296947752
Umaria,MADHYA PRADESH,8.247551742
Shahdara,DELHI,8.206277742
Pherzawl,MANIPUR,8.073969242
Ukhrul,MANIPUR,8.053628266
Kangpokpi,MANIPUR,8.003936383
Kakching,MANIPUR,7.928141727
Peren,NAGALAND,7.9120892
Sukma,CHHATTISGARH,7.909024381
Chandel,MANIPUR,7.86577583
Jhargram,WEST BENGAL,7.851960066
Wokha,NAGALAND,7.815000445
Surajpur,CHHATTISGARH,7.792234031
Sahibzada Ajit Singh Nag*,PUNJAB,7.786181657
Mokokchung,NAGALAND,7.757549146
Jiribam,MANIPUR,7.702555125
Tuensang,NAGALAND,7.690746667
South,DELHI,7.686692946
Kondagaon,CHHATTISGARH,7.560307969
Tirunelveli,TAMIL NADU,7.541971
East Kameng,ARUNACHAL PRADESH,7.516648699
Kamjong,MANIPUR,7.479566995
North  & Middle Andaman,ANDAMAN & NICOBAR,7.46257474
Tengnoupal,MANIPUR,7.310092891
Gariaband,CHHATTISGARH,7.28532707
Dakshin Bastar Dantewada,CHHATTISGARH,7.263513107
"Almora
",UTTARAKHAND,7.102979288
Karaikal,PUDUCHERRY,7.016885975
Longleng,NAGALAND,6.923534921
Balod,CHHATTISGARH,6.814171814
Rajanna Sircilla,TELANGANA,6.285647596
Kodarma,JHARKHAND,5.936974084
Yanam,PUDUCHERRY,5.860381611
Bishnupur,MANIPUR,5.479314363
Daman,DAMAN & DIU,5.233750545
Lakshadweep,LAKSHADWEEP,4.858476899
Nicobars,ANDAMAN & NICOBAR,4.664727108
Diu,DAMAN & DIU,4.269141538
Mahe,PUDUCHERRY,4.24448458
East,DELHI,
